date,time,sender,message,source_file
,AM 10:32,선우,우리는 소라게 새로운 둥지를 찾아떠나요,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml
,PM 10:27,선우,뭐야 이거,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml
,PM 10:27,선우,보임?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml
,PM 10:27,선우,이건 그냥 막 보내지네,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml
,PM 10:28,선우,말 조심 해야겠다,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml
,PM 10:28,선우,ʕ•ﻌ•ʔฅ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml
,PM 10:29,선우,오늘은 너무 졸리니까 내일부터 ㄱ ㄱ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml
,PM 10:29,선우,낼 여러가지 얘기 함,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0001.xml
,PM 10:29,선우,해보자고,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0001.xml
,PM 10:29,선우,~~,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0001.xml
,PM 10:30,선우,낼 저녁쯤 ㄱ ㄱ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0001.xml
,PM 10:39,선우,잘자~~💕💕,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0001.xml
,PM 9:07,선우,요,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0002.xml
,PM 9:07,선우,ㅎㅇ ㅋㅋㅋ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0002.xml
,PM 9:07,선우,밥은 먹었니,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0002.xml
,PM 9:08,선우,잠은 잘 잤니,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0002.xml
,PM 9:08,선우,ʕ•ﻌ•ʔฅ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0003.xml
,PM 9:08,선우,잘 떠?이름?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0003.xml
,PM 9:10,선우,프시,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0003.xml
,PM 9:10,선우,프사,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0003.xml
,PM 9:10,선우,바꿀만한 거 없는데...,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0003.xml
,PM 9:10,선우,뭘로하지,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0004.xml
