date,time,sender,message,source_file,trans
,AM 10:32,선우,우리는 소라게 새로운 둥지를 찾아떠나요,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml,我們是寄居蟹，要出發去找新的巢了
,PM 10:27,선우,뭐야 이거,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml,這什麼啊
,PM 10:27,선우,보임?,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml,看得到嗎？
,PM 10:27,선우,이건 그냥 막 보내지네,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml,這個好像可以直接隨便傳欸
,PM 10:28,선우,말 조심 해야겠다,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml,我得小心說話了
,PM 10:28,선우,ʕ•ﻌ•ʔฅ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml,ʕ•ﻌ•ʔฅ
,PM 10:29,선우,오늘은 너무 졸리니까 내일부터 ㄱ ㄱ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0000.xml,今天太睏了，從明天開始 ㄱㄱ
,PM 10:29,선우,낼 여러가지 얘기 함,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0001.xml,明天會聊很多事
,PM 10:29,선우,해보자고,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0001.xml,來試試看吧
,PM 10:29,선우,~~,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0001.xml,~~
,PM 10:30,선우,낼 저녁쯤 ㄱ ㄱ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0001.xml,明天晚上左右 ㄱㄱ
,PM 10:39,선우,잘자~~💕💕,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0001.xml,晚安～～💕💕
,PM 9:07,선우,요,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0002.xml,唷
,PM 9:07,선우,ㅎㅇ ㅋㅋㅋ,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0002.xml,嗨ㅋㅋㅋ
,PM 9:07,선우,밥은 먹었니,C:\Users\yuyao\Desktop\fromm抓取\fromm_dump\01\window_0002.xml,飯吃了嗎
